Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00696731732021785,-0.0090034121267864,0.0364233141185039,0,0,0,2.50029446287432,0.00829948294023925,-0.000193329909064157,-3.37223447457973E-06,0.0107415543813641,-2.51584710548057E-06,0.0184997684702892,0,0,0,0,0,0,package://edgelinkbot/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://edgelinkbot/meshes/base_link.STL,,Main Body-1;Pack B V1-2;Pack B V2-3;Pack F V2-2;Pack F V1-2;Link Lotary Enco-1;LockEnco-1;Rotary Omron E6B2-CWZ6C-3;Link Lotary Enco-2;LockEnco-2;Rotary Omron E6B2-CWZ6C-1;Lock Whell-5;Lock Whell-8;Lock Whell-6;Lock Whell-7;PLat UP FF SikiBeDI-4;PLat UP FF SikiBeDI-3;PLat UP FF Uno-1;PLat UP V2 B-1;New Lock Motor-2;New Lock Motor-1;PLat UP V2 RP-5;PLat UP V2 RP-4;PLat UP V2 RP Back V2-1;PLat UP V2 RP Back V2-3;6L 30M-1;6L 30M-2;6L 30M-8;6L 30M-7;6L 30M-6;6L 30M-5;6L 30M-4;6L 30M-3;6L 30M-9;6L 30M-12;6L 30M-10,Base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R_motor_link,-8.60422844084496E-16,0.327397966866354,0.000115879862118168,0,0,0,0.289356764030316,0.000215565671679599,6.54732099343404E-19,3.28321609907125E-21,0.000340635119483454,-1.60627717767865E-21,0.000215565671679599,0,0,0,0,0,0,package://edgelinkbot/meshes/R_motor_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://edgelinkbot/meshes/R_motor_link.STL,,Omni Wheel 97mm-3,R_motor_cs,R_motor_axis,R_motor_joint,continuous,0,-0.175,0.0255000000000001,0,0,0,base_link,0,1,0,,,,,,,,,,,,
L_motor_link,7.21644966006352E-16,-0.327397966866354,-0.000115879862118168,0,0,0,0.289356764030316,0.000215565671679599,2.3747113970114E-22,8.65333585907533E-22,0.000340635119483454,3.50884930732294E-21,0.000215565671679599,0,0,0,0,0,0,package://edgelinkbot/meshes/L_motor_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://edgelinkbot/meshes/L_motor_link.STL,,Omni Wheel 97mm-1,L_motor_cs,L_motor_axis,L_motor_joint,continuous,0,0.175,0.025616,0,0,0,base_link,0,1,0,,,,,,,,,,,,
caster_fl_link,0.00555694201903228,-8.48278855126172E-05,-0.00491960533542843,0,0,0,0.00702028303224215,1.97342211410058E-06,-1.92439546284557E-09,2.36927161015266E-07,1.52832706823907E-06,-3.44383195535888E-09,2.51096219721311E-06,0,0,0,0,0,0,package://edgelinkbot/meshes/caster_fl_link.STL,1,1,1,1,0,0,0,0,0,0,package://edgelinkbot/meshes/caster_fl_link.STL,,PLat Wheel payung-3;Sao Payung-3,caster_up_fl_cs,caster_up_fl_axis,caster_fl_joint,continuous,0.121,0.09575,0.03612,0,0,0,base_link,0,0,1,,,,,,,,,,,,
caster_wheel_fl_link,-5.55111512312578E-17,0,-2.77555756156289E-17,0,0,0,0.0430615244083842,8.29709714565463E-06,6.21453112662801E-08,2.36482232947536E-21,1.25716382734955E-05,-1.69498041910481E-21,8.2961938384614E-06,0,0,0,0,0,0,package://edgelinkbot/meshes/caster_wheel_fl_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://edgelinkbot/meshes/caster_wheel_fl_link.STL,,Wheellllsss-3,caster_down_fl_cs,caster_down_fl_axis,caster_wheel_fl_joint,continuous,0.0219976763106033,-0.000319745107726421,-0.03412,0,0,0,caster_fl_link,0.0145338685330141,0.999894377754703,0,,,,,,,,,,,,
caster_fr_link,0.00555488050967479,0.000167500058819436,-0.00632460533542847,0,0,0,0.00702028303224219,1.97332390175124E-06,4.08578003373284E-09,2.36839265989836E-07,1.52842528058844E-06,7.31448499132989E-09,2.51096219721312E-06,0,0,0,0,0,0,package://edgelinkbot/meshes/caster_fr_link.STL,1,1,1,1,0,0,0,0,0,0,package://edgelinkbot/meshes/caster_fr_link.STL,,Sao Payung-1;PLat Wheel payung-1,caster_up_fr_cs,caster_up_fr_axis,caster_fr_joint,continuous,0.121,-0.09625,0.037525,0,0,0,base_link,0,0,1,,,,,,,,,,,,
caster_wheel_fr_link,0,0,0,0,0,0,0.0430615244083842,8.30026875831885E-06,-1.31943811375545E-07,4.01636705035217E-22,1.25684666608312E-05,-1.59593558706444E-21,8.2961938384614E-06,0,0,0,0,0,0,package://edgelinkbot/meshes/caster_wheel_fr_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://edgelinkbot/meshes/caster_wheel_fr_link.STL,,Wheellllsss-1,caster_down_fe_cs,caster_down_fr_axis,caster_wheel_fr_joint,continuous,0.0219895156324024,0.000679118732225148,-0.035525,0,0,0,caster_fr_link,-0.0308690332828908,0.999523437836342,0,,,,,,,,,,,,
caster_br_link,0.00554806966014744,-0.000328172488371747,-0.00491960533542848,0,0,0,0.00702028303224219,1.97299968520988E-06,-7.70973067225906E-09,2.36548876916728E-07,1.52874949712981E-06,-1.38191329224037E-08,2.51096219721312E-06,0,0,0,0,0,0,package://edgelinkbot/meshes/caster_br_link.STL,1,1,1,1,0,0,0,0,0,0,package://edgelinkbot/meshes/caster_br_link.STL,,PLat Wheel payung-4;Sao Payung-4,caster_up_br_cs,caster_up_br_axis,caster_br_joint,continuous,-0.121,-0.09625,0.03612,0,0,0,base_link,0,0,1,,,,,,,,,,,,
caster_wheel_br_link,0,-5.55111512312578E-17,2.77555756156289E-17,0,0,0,0.0430615244083843,8.3107388193172E-06,2.48973572041881E-07,1.38603517839785E-21,1.25579965998329E-05,-1.62550920920244E-21,8.29619383846141E-06,0,0,0,0,0,0,package://edgelinkbot/meshes/caster_wheel_br_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://edgelinkbot/meshes/caster_wheel_br_link.STL,,Wheellllsss-4,caster_down_br_cs,caster_down_br_axis,caster_wheel_br_joint,continuous,0.0219625542455878,-0.00128304754768349,-0.03412,0,0,0,caster_br_link,0.0583203430765141,0.998297920253988,0,,,,,,,,,,,,
caster_bl_link,0.00555573748123371,-0.000145157659774853,-0.0049196053354284,0,0,0,0.00702028303224216,1.97336472430014E-06,-3.36101849857335E-09,2.36875804042283E-07,1.52838445803953E-06,-6.016067204845E-09,2.51096219721312E-06,0,0,0,0,0,0,package://edgelinkbot/meshes/caster_bl_link.STL,1,1,1,1,0,0,0,0,0,0,package://edgelinkbot/meshes/caster_bl_link.STL,,PLat Wheel payung-2;Sao Payung-2,caster_up_bl_cs,caster_up_bl_axis,caster_bl_joint,continuous,-0.121,0.09575,0.03612,0,0,0,base_link,0,0,1,,,,,,,,,,,,
caster_wheel_link,0,0,2.77555756156289E-17,0,0,0,0.0430615244083843,8.29895045859429E-06,1.08538782593283E-07,-8.55941061891113E-23,1.25697849605558E-05,-1.57793686514242E-21,8.29619383846142E-06,0,0,0,0,0,0,package://edgelinkbot/meshes/caster_wheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://edgelinkbot/meshes/caster_wheel_link.STL,,Wheellllsss-2,caster_down_bl_cs,caster_down_bl_axis,caster_wheel_joint,continuous,0.02199290803472,-0.000558566179023057,-0.03412,0,0,0,caster_bl_link,0.0253893717737699,0.999677637941818,0,,,,,,,,,,,,
lidar_link,0.00577265858294868,0.000571104004925105,-0.0192534162964028,0,0,0,0.14092250334185,4.47011677227243E-05,-5.73365776755427E-07,3.7831029954513E-06,7.04889269829893E-05,-2.45426224626736E-07,0.000104059454862497,0,0,0,0,0,0,package://edgelinkbot/meshes/lidar_link.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://edgelinkbot/meshes/lidar_link.STL,,RPLidar_SCTL-1,lidar_cs,Axis_lidar_joint,lidar_joint,fixed,0.000118423174117921,0.000323856797271926,0.11985,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
